fecha,Offered,Handled,Abandoned,Real ABA%,Real TSF,Real ASA,Calls SL
2024-10-01 00:00:00,37.0,29.0,8.0,21.6,45.9,127.48275862068965,17.0
2024-10-01 00:30:00,24.0,18.0,6.0,25.0,4.2,216.72222222222223,1.0
2024-10-01 01:00:00,10.0,3.0,7.0,70.0,0.0,370.0,0.0
2024-10-01 01:30:00,16.0,4.0,12.0,75.0,0.0,1373.75,0.0
2024-10-01 02:00:00,12.0,8.0,4.0,33.3,8.3,503.25,1.0
2024-10-01 02:30:00,5.0,3.0,2.0,40.0,20.0,124.33333333333333,1.0
2024-10-01 03:00:00,3.0,2.0,1.0,33.3,33.3,430.5,1.0
2024-10-01 03:30:00,5.0,4.0,1.0,20.0,0.0,378.75,0.0
2024-10-01 04:00:00,4.0,1.0,3.0,75.0,0.0,566.0,0.0
2024-10-01 04:30:00,5.0,0.0,5.0,100.0,0.0,0.0,0.0
2024-10-01 05:00:00,13.0,3.0,10.0,76.9,0.0,1629.6666666666667,0.0
2024-10-01 05:30:00,14.0,3.0,11.0,78.6,7.1,102.0,1.0
2024-10-01 06:00:00,35.0,5.0,30.0,85.7,0.0,398.4,0.0
2024-10-01 06:30:00,58.0,7.0,51.0,87.9,0.0,2118.0,0.0
2024-10-01 07:00:00,75.0,47.0,28.0,37.3,9.3,414.2340425531915,7.0
2024-10-01 07:30:00,70.0,57.0,13.0,18.6,17.1,141.17543859649123,12.0
2024-10-01 08:00:00,171.0,121.0,50.0,29.2,11.7,209.70247933884298,20.0
2024-10-01 08:30:00,203.0,112.0,91.0,44.8,6.9,322.98214285714283,14.0
2024-10-01 09:00:00,276.0,210.0,66.0,23.9,6.9,317.3142857142857,19.0
2024-10-01 09:30:00,342.0,270.0,72.0,21.1,12.0,172.95185185185184,41.0
2024-10-01 10:00:00,410.0,271.0,139.0,33.9,8.3,278.6937269372694,34.0
2024-10-01 10:30:00,467.0,238.0,229.0,49.0,7.5,453.3613445378151,35.0
2024-10-01 11:00:00,472.0,240.0,232.0,49.2,7.8,610.3875,37.0
2024-10-01 11:30:00,454.0,246.0,208.0,45.8,9.5,572.5284552845528,43.0
2024-10-01 12:00:00,445.0,253.0,192.0,43.1,8.8,483.7667984189723,39.0
2024-10-01 12:30:00,419.0,249.0,170.0,40.6,9.3,470.82730923694777,39.0
2024-10-01 13:00:00,382.0,217.0,165.0,43.2,11.0,469.4700460829493,42.0
2024-10-01 13:30:00,414.0,200.0,214.0,51.7,6.5,602.935,27.0
2024-10-01 14:00:00,423.0,222.0,201.0,47.5,8.5,541.8288288288288,36.0
2024-10-01 14:30:00,417.0,218.0,199.0,47.7,7.0,501.5,29.0
2024-10-01 15:00:00,398.0,262.0,136.0,34.2,8.8,427.2480916030534,35.0
2024-10-01 15:30:00,352.0,238.0,114.0,32.4,9.4,372.2310924369748,33.0
2024-10-01 16:00:00,284.0,201.0,83.0,29.2,9.5,300.96019900497515,27.0
2024-10-01 16:30:00,268.0,262.0,6.0,2.2,41.0,163.206106870229,110.0
2024-10-01 17:00:00,224.0,213.0,11.0,4.9,76.8,19.211267605633804,172.0
2024-10-01 17:30:00,198.0,185.0,13.0,6.6,55.1,31.302702702702703,109.0
2024-10-01 18:00:00,155.0,123.0,32.0,20.6,24.5,159.5609756097561,38.0
2024-10-01 18:30:00,145.0,92.0,53.0,36.6,9.0,418.4021739130435,13.0
2024-10-01 19:00:00,120.0,69.0,51.0,42.5,5.0,565.7536231884058,6.0
2024-10-01 19:30:00,112.0,53.0,59.0,52.7,1.8,648.0943396226415,2.0
2024-10-01 20:00:00,112.0,54.0,58.0,51.8,9.8,554.2777777777778,11.0
2024-10-01 20:30:00,109.0,55.0,54.0,49.5,8.3,606.0181818181818,9.0
2024-10-01 21:00:00,100.0,48.0,52.0,52.0,5.0,846.9375,5.0
2024-10-01 21:30:00,93.0,54.0,39.0,41.9,1.1,639.2592592592592,1.0
2024-10-01 22:00:00,67.0,45.0,22.0,32.8,3.0,619.7777777777778,2.0
2024-10-01 22:30:00,59.0,51.0,8.0,13.6,3.4,327.6078431372549,2.0
2024-10-01 23:00:00,37.0,37.0,0.0,0.0,81.1,24.783783783783782,30.0
2024-10-01 23:30:00,30.0,30.0,0.0,0.0,96.7,5.133333333333334,29.0
2024-10-02 00:00:00,24.0,21.0,3.0,12.5,54.2,52.76190476190476,13.0
2024-10-02 00:30:00,20.0,19.0,1.0,5.0,35.0,191.31578947368422,7.0
2024-10-02 01:00:00,10.0,9.0,1.0,10.0,60.0,61.0,6.0
2024-10-02 01:30:00,9.0,8.0,1.0,11.1,0.0,159.75,0.0
2024-10-02 02:00:00,8.0,7.0,1.0,12.5,12.5,241.0,1.0
2024-10-02 02:30:00,9.0,8.0,1.0,11.1,66.7,73.25,6.0
2024-10-02 03:00:00,5.0,3.0,2.0,40.0,60.0,6.333333333333333,3.0
2024-10-02 03:30:00,7.0,6.0,1.0,14.3,28.6,353.1666666666667,2.0
2024-10-02 04:00:00,4.0,4.0,0.0,0.0,75.0,15.25,3.0
2024-10-02 04:30:00,11.0,5.0,6.0,54.5,45.5,0.8,5.0
2024-10-02 05:00:00,12.0,3.0,9.0,75.0,0.0,482.0,0.0
2024-10-02 05:30:00,12.0,7.0,5.0,41.7,0.0,293.14285714285717,0.0
2024-10-02 06:00:00,21.0,6.0,15.0,71.4,0.0,299.6666666666667,0.0
2024-10-02 06:30:00,47.0,4.0,43.0,91.5,0.0,313.25,0.0
2024-10-02 07:00:00,76.0,60.0,16.0,21.1,14.5,508.53333333333336,11.0
2024-10-02 07:30:00,108.0,95.0,13.0,12.0,48.1,46.62105263157895,52.0
2024-10-02 08:00:00,146.0,118.0,28.0,19.2,23.3,113.9322033898305,34.0
2024-10-02 08:30:00,204.0,130.0,74.0,36.3,5.9,301.5923076923077,12.0
2024-10-02 09:00:00,277.0,229.0,48.0,17.3,25.3,164.96943231441048,70.0
2024-10-02 09:30:00,406.0,265.0,141.0,34.7,12.1,256.9509433962264,49.0
2024-10-02 10:00:00,443.0,225.0,218.0,49.2,10.6,464.74666666666667,47.0
2024-10-02 10:30:00,464.0,223.0,241.0,51.9,8.8,642.5246636771301,41.0
2024-10-02 11:00:00,459.0,270.0,189.0,41.2,8.7,569.2925925925925,40.0
2024-10-02 11:30:00,481.0,282.0,199.0,41.4,10.6,551.8510638297872,51.0
2024-10-02 12:00:00,432.0,306.0,126.0,29.2,12.3,347.3888888888889,53.0
2024-10-02 12:30:00,428.0,245.0,183.0,42.8,9.3,368.25714285714287,40.0
2024-10-02 13:00:00,418.0,240.0,178.0,42.6,11.7,463.18333333333334,49.0
2024-10-02 13:30:00,432.0,236.0,196.0,45.4,10.2,587.75,44.0
2024-10-02 14:00:00,385.0,209.0,176.0,45.7,9.4,511.79425837320576,36.0
2024-10-02 14:30:00,373.0,225.0,148.0,39.7,9.9,504.6488888888889,37.0
2024-10-02 15:00:00,338.0,237.0,101.0,29.9,11.2,377.9282700421941,38.0
2024-10-02 15:30:00,339.0,249.0,90.0,26.5,7.7,312.26506024096386,26.0
2024-10-02 16:00:00,292.0,261.0,31.0,10.6,18.2,141.62835249042146,53.0
2024-10-02 16:30:00,272.0,262.0,10.0,3.7,39.3,56.32824427480916,107.0
2024-10-02 17:00:00,180.0,180.0,0.0,0.0,90.6,8.605555555555556,163.0
2024-10-02 17:30:00,164.0,164.0,0.0,0.0,99.4,1.5060975609756098,163.0
2024-10-02 18:00:00,146.0,134.0,12.0,8.2,60.3,56.38805970149254,88.0
2024-10-02 18:30:00,109.0,106.0,3.0,2.8,48.6,65.87735849056604,53.0
2024-10-02 19:00:00,107.0,85.0,22.0,20.6,19.6,119.76470588235294,21.0
2024-10-02 19:30:00,94.0,62.0,32.0,34.0,7.4,278.80645161290323,7.0
2024-10-02 20:00:00,86.0,53.0,33.0,38.4,3.5,515.5283018867924,3.0
2024-10-02 20:30:00,94.0,60.0,34.0,36.2,2.1,529.7,2.0
2024-10-02 21:00:00,100.0,55.0,45.0,45.0,3.0,490.6,3.0
2024-10-02 21:30:00,72.0,60.0,12.0,16.7,11.1,203.85,8.0
2024-10-02 22:00:00,75.0,64.0,11.0,14.7,5.3,304.828125,4.0
2024-10-02 22:30:00,59.0,59.0,0.0,0.0,61.0,49.30508474576271,36.0
2024-10-02 23:00:00,38.0,37.0,1.0,2.6,65.8,52.810810810810814,25.0
2024-10-02 23:30:00,23.0,23.0,0.0,0.0,95.7,3.347826086956522,22.0
2024-10-03 00:00:00,22.0,20.0,2.0,9.1,72.7,14.5,16.0
2024-10-03 00:30:00,13.0,13.0,0.0,0.0,84.6,10.846153846153847,11.0
2024-10-03 01:00:00,20.0,10.0,10.0,50.0,20.0,239.8,4.0
2024-10-03 01:30:00,12.0,5.0,7.0,58.3,0.0,967.8,0.0
2024-10-03 02:00:00,17.0,4.0,13.0,76.5,0.0,1361.75,0.0
2024-10-03 02:30:00,11.0,5.0,6.0,54.5,9.1,811.2,1.0
2024-10-03 03:00:00,4.0,4.0,0.0,0.0,0.0,757.75,0.0
